model,model_2,brand,product,product_parent,product_lang,file_urls,type,url,thumb,source,brand_category
DF48450F/S/P,,Wolf,"48"" Dual Fuel Range - 4 Burners and French Top",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/48-inch-dual-fuel-range-4-burners-french-top,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df48450f-s-p/df48450f-s.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF48450DG/S/P,,Wolf,"48"" Dual Fuel Range - 4 Burners and Infrared Dual Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/48-inch-dual-fuel-range-4-burners-dual-infrared-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df48450dg-s-p/df48450dg-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF48650G/S/P,,Wolf,"48"" Dual Fuel Range - 6 Burners and Infrared Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/48-inch-dual-fuel-range-6-burners-infrared-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df48650g-s-p/df48650g-s.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF48850/S/P,,Wolf,"48"" Dual Fuel Range - 8 Burners",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/48-inch-dual-fuel-range-8-burners,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df48850-s-p/df48850-s-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF60650DG/S/P,,Wolf,"60"" Dual Fuel Range - 6 Burners and Infrared Dual Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/60-inch-dual-fuel-range-6-burners-infrared-dual-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df60650dg-s-p/df60650dg-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF48650C/S/P,,Wolf,"48"" Dual Fuel Range - 6 Burners and Infrared Charbroiler",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/48-inch-dual-fuel-range-6-burners-infrared-charbroiler,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df48650c-s-p/df48650c-s.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF60650CG/S/P,,Wolf,"60"" Dual Fuel Range - 6 Burners, Infrared Charbroiler and Infrared Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/60-inch-dual-fuel-range-6-burners-infrared-charbroiler-infrared-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df60650cg-s-p/df60650cg-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
IR30450/S/T,,Wolf,"30"" Transitional Induction Range",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/induction_range_uc.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/induction-range/30-inch-transitional-induction-range,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/ir30450-s-t/ir30450-s-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
GR606CG,,Wolf,"60"" Gas Range - 6 Burners, Infrared Charbroiler and Infrared Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/granges-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/gas-range/60-inch-gas-range-6-burners-infrared-charbroiler-infrared-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/gr606cg/dynamic_gr606cg.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DF60650F/S/P,,Wolf,"60"" Dual Fuel Range - 6 Burners and French Top",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/dual-fuel-range-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/dual-fuel/60-inch-dual-fuel-range-6-burners-french-top,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/df60650f-s-p/df60650f-s.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
